secs,x,y,velocity
0.0,75.56,400.59,0.5556
1.18,75.56,400.59,0.926
2.37,78.05,400.4,1.8892
3.15,78.97,401.14,2.4
4.39,79.89,401.7,3.1
5.1,80.67,402.25,3.8892
6.5,81.72,402.81,4.0744
9.49,82.64,404.29,4.4448
10.62,84.48,405.59,4.63
11.83,86.31,406.7,6.482
13.25,88.68,406.7,6.482
15.72,90.38,406.51,6.1116
16.33,91.3,406.51,8.4448
17.08,90.25,412.44,9.4452
18.68,90.91,416.33,10.3712
20.48,92.87,420.96,19.2608
21.04,95.89,426.15,20.0016
21.82,98.91,431.15,20.7424
22.64,101.92,436.15,20.5572
25.23,105.07,440.59,20.372
27.05,107.96,444.85,20.1868
28.13,111.76,450.59,18.3348
28.99,114.52,454.48,16.8532
29.88,117.67,456.89,15.9272
30.55,121.73,457.63,16.1124
31.55,126.45,456.52,18.7052
33.22,131.18,453.93,19.446
33.94,134.98,450.41,18.3348
34.6,138.39,447.07,16.1124
35.27,140.88,444.29,13.89
36.29,141.8,442.81,9.6304
37.07,141.93,443,5.3708
37.63,142.33,442.81,5.556
38.4,143.11,440.96,6.2968
39.6,144.56,437.26,9.4452
40.31,145.21,433.37,16.2976
41.7,143.77,427.81,18.1496
43.9,141.02,422.44,19.8164
44.83,137.74,414.29,21.1128
47.06,134.19,405.96,25.3724
48.45,131.18,397.07,33.1508
49.03,128.82,387.81,34.4472
49.8,127.51,377.81,36.8548
52.36,127.11,367.44,37.2252
53.15,126.85,355.4,42.9664
53.79,126.72,342.81,43.1516
56.57,126.72,330.95,43.7072
58.16,126.72,317.99,43.7072
58.72,126.72,305.58,41.2996
60.59,126.59,294.84,37.7808
61.23,126.72,284.65,34.262
61.9,126.98,276.5,28.8912
63.05,127.11,269.65,22.9648
64.88,126.98,264.84,18.52
65.81,127.25,259.84,15.9272
66.38,128.03,257.43,11.112
66.97,128.69,256.69,6.8524
69.51,128.95,255.76,6.8524
72.23,129.87,254.46,7.5932
72.75,131.97,252.06,8.1488
73.54,135.51,249.28,11.4824
74.51,140.76,247.61,15.9272
75.86,147.84,246.5,28.3356
77,156.5,245.95,30.558
77.77,166.6,245.76,38.7068
79.13,177.88,245.2,39.4476
81.03,190.34,244.09,45.0036
83.02,203.72,243.35,46.4852
83.62,217.76,242.06,50.93
84.33,231.93,240.39,51.1152
86.22,246.62,237.98,50.93
86.81,260.66,235.76,50.5596
